CustomerID,Segment,Currency
3,SME,EUR
5,LAM,EUR
6,SME,EUR
7,LAM,EUR
9,SME,EUR
10,LAM,EUR
20,KAM,EUR
35,LAM,EUR
37,SME,EUR
38,SME,EUR
39,KAM,EUR
44,LAM,EUR
48,SME,EUR
51,LAM,EUR
52,LAM,EUR
63,SME,EUR
70,LAM,EUR
73,LAM,EUR
75,LAM,EUR
77,LAM,EUR
82,SME,EUR
87,SME,EUR
92,LAM,EUR
95,SME,EUR
96,LAM,EUR
97,SME,EUR
98,SME,EUR
99,SME,EUR
100,LAM,EUR
101,KAM,EUR
103,SME,EUR
104,SME,EUR
105,KAM,EUR
106,SME,EUR
114,LAM,EUR
115,LAM,EUR
117,SME,EUR
122,LAM,EUR
123,SME,EUR
128,SME,EUR
134,SME,EUR
136,SME,EUR
137,LAM,EUR
138,KAM,EUR
144,SME,EUR
152,SME,EUR
154,KAM,EUR
160,SME,EUR
164,SME,EUR
165,SME,EUR
166,LAM,EUR
169,SME,EUR
172,LAM,EUR
175,SME,EUR
193,LAM,EUR
201,SME,EUR
204,LAM,EUR
205,SME,EUR
208,LAM,EUR
210,KAM,EUR
212,SME,EUR
214,LAM,EUR
215,LAM,EUR
216,SME,EUR
219,SME,EUR
220,SME,EUR
224,LAM,EUR
227,SME,EUR
230,LAM,EUR
232,KAM,EUR
233,LAM,EUR
235,LAM,EUR
236,KAM,EUR
254,SME,EUR
256,LAM,EUR
259,SME,EUR
263,SME,EUR
272,LAM,EUR
274,SME,EUR
281,SME,EUR
283,SME,EUR
285,KAM,EUR
289,SME,EUR
291,LAM,EUR
294,LAM,EUR
296,KAM,EUR
305,SME,CZK
314,SME,CZK
316,SME,CZK
322,SME,CZK
323,LAM,CZK
324,SME,CZK
331,SME,CZK
335,LAM,CZK
336,SME,CZK
337,SME,CZK
339,LAM,CZK
342,SME,CZK
344,SME,CZK
345,SME,CZK
346,LAM,CZK
348,SME,CZK
349,SME,CZK
361,LAM,CZK
370,SME,CZK
373,SME,CZK
381,LAM,CZK
382,LAM,CZK
392,SME,CZK
394,SME,CZK
405,SME,CZK
407,LAM,EUR
408,SME,CZK
414,SME,CZK
419,LAM,CZK
420,SME,CZK
421,SME,CZK
423,SME,CZK
424,LAM,CZK
427,SME,CZK
431,SME,CZK
445,SME,CZK
448,SME,CZK
453,SME,CZK
465,KAM,EUR
475,SME,CZK
476,SME,CZK
480,SME,CZK
482,SME,CZK
484,SME,CZK
486,KAM,CZK
496,SME,CZK
500,SME,CZK
501,LAM,CZK
504,SME,CZK
505,SME,CZK
509,KAM,CZK
519,LAM,EUR
522,SME,CZK
524,SME,CZK
525,KAM,CZK
528,SME,CZK
531,SME,CZK
533,SME,CZK
534,SME,EUR
536,SME,CZK
539,SME,CZK
542,SME,CZK
544,SME,CZK
548,SME,CZK
551,SME,CZK
559,LAM,CZK
560,SME,CZK
562,LAM,CZK
576,SME,CZK
579,SME,CZK
580,SME,CZK
583,KAM,CZK
588,LAM,CZK
591,LAM,EUR
592,SME,EUR
598,SME,CZK
600,SME,CZK
602,KAM,CZK
603,KAM,CZK
604,SME,CZK
607,LAM,CZK
609,SME,CZK
613,LAM,CZK
615,SME,EUR
619,SME,CZK
623,LAM,EUR
628,LAM,CZK
630,KAM,CZK
633,SME,CZK
634,LAM,CZK
639,SME,CZK
640,SME,CZK
643,KAM,CZK
644,SME,CZK
645,KAM,CZK
647,SME,CZK
648,SME,CZK
649,SME,CZK
650,SME,CZK
651,KAM,CZK
653,SME,CZK
654,SME,CZK
656,LAM,CZK
657,LAM,CZK
658,LAM,CZK
660,LAM,CZK
661,KAM,CZK
665,LAM,CZK
669,SME,CZK
670,SME,CZK
671,SME,CZK
672,SME,CZK
675,SME,CZK
676,LAM,CZK
677,SME,CZK
678,SME,CZK
679,LAM,EUR
681,SME,CZK
683,SME,CZK
684,SME,CZK
686,SME,CZK
688,SME,CZK
689,SME,CZK
690,SME,CZK
692,SME,CZK
693,SME,CZK
694,SME,CZK
698,SME,CZK
700,SME,CZK
702,SME,CZK
703,KAM,CZK
704,KAM,CZK
711,SME,CZK
712,SME,CZK
714,SME,CZK
715,SME,CZK
716,SME,CZK
718,LAM,CZK
721,SME,CZK
722,SME,CZK
723,SME,CZK
724,KAM,CZK
726,KAM,CZK
727,SME,CZK
730,SME,CZK
731,SME,CZK
732,SME,CZK
733,SME,CZK
738,SME,CZK
739,SME,CZK
744,SME,CZK
746,LAM,EUR
747,SME,CZK
752,LAM,CZK
755,SME,CZK
757,SME,CZK
759,SME,CZK
761,LAM,CZK
764,SME,CZK
767,SME,CZK
770,SME,CZK
773,SME,CZK
774,SME,CZK
776,SME,CZK
778,SME,CZK
783,SME,CZK
788,KAM,EUR
789,SME,CZK
793,SME,CZK
796,SME,CZK
802,SME,CZK
804,SME,CZK
808,SME,CZK
815,KAM,CZK
818,SME,CZK
819,SME,CZK
821,LAM,CZK
823,LAM,CZK
824,SME,CZK
826,SME,CZK
828,SME,CZK
829,SME,CZK
832,SME,CZK
834,KAM,CZK
836,LAM,CZK
837,SME,CZK
840,SME,CZK
842,KAM,CZK
843,SME,CZK
847,LAM,CZK
849,SME,CZK
854,SME,CZK
857,SME,CZK
858,SME,CZK
867,LAM,CZK
870,SME,CZK
871,SME,CZK
872,LAM,EUR
873,SME,CZK
874,SME,CZK
875,SME,CZK
878,SME,CZK
879,SME,CZK
881,KAM,CZK
884,SME,EUR
885,SME,CZK
887,SME,CZK
893,SME,EUR
897,KAM,EUR
900,SME,CZK
903,SME,CZK
904,SME,CZK
908,SME,CZK
909,SME,CZK
910,SME,CZK
914,KAM,CZK
915,SME,CZK
916,SME,CZK
919,SME,CZK
922,KAM,CZK
924,SME,CZK
926,LAM,CZK
928,SME,CZK
930,SME,CZK
933,SME,CZK
935,SME,CZK
940,LAM,CZK
945,LAM,CZK
946,LAM,CZK
952,KAM,EUR
953,SME,CZK
954,LAM,CZK
955,SME,CZK
956,LAM,CZK
958,SME,CZK
961,KAM,CZK
966,LAM,CZK
969,LAM,CZK
972,KAM,CZK
974,LAM,CZK
977,SME,CZK
978,KAM,CZK
983,SME,CZK
987,LAM,CZK
993,SME,CZK
994,SME,CZK
997,LAM,CZK
998,SME,CZK
999,SME,CZK
1000,KAM,CZK
1004,KAM,CZK
1006,SME,CZK
1011,KAM,CZK
1012,LAM,CZK
1013,LAM,CZK
1014,LAM,CZK
1017,SME,CZK
1018,SME,CZK
1022,KAM,CZK
1023,SME,CZK
1025,LAM,CZK
1027,SME,CZK
1028,SME,CZK
1029,SME,CZK
1031,SME,CZK
1032,SME,CZK
1033,KAM,CZK
1036,KAM,CZK
1037,SME,CZK
1043,LAM,CZK
1044,SME,CZK
1046,SME,CZK
1050,SME,CZK
1051,LAM,CZK
1053,SME,CZK
1054,LAM,CZK
1055,SME,EUR
1057,SME,CZK
1061,SME,CZK
1064,KAM,CZK
1065,SME,CZK
1067,SME,CZK
1070,SME,CZK
1071,SME,CZK
1072,SME,CZK
1075,SME,CZK
1076,SME,CZK
1077,SME,CZK
1078,SME,CZK
1079,SME,CZK
1080,SME,CZK
1081,SME,CZK
1083,SME,CZK
