GasStationID,ChainID,Country,Segment
44,13,CZE,"Value for money"
45,6,CZE,Premium
46,23,CZE,Other
47,33,CZE,Premium
48,4,CZE,Premium
49,13,CZE,"Value for money"
50,10,CZE,Other
51,10,CZE,Other
52,10,CZE,Other
53,10,CZE,Other
54,10,CZE,Other
55,10,CZE,Other
56,10,CZE,Other
57,10,CZE,Other
58,4,CZE,Premium
59,1,CZE,Premium
60,1,CZE,Premium
61,1,CZE,Premium
62,10,CZE,Other
63,10,CZE,Other
64,4,CZE,Premium
65,4,CZE,Premium
66,3,CZE,Other
67,3,CZE,Other
68,3,CZE,Other
69,2,CZE,Noname
70,3,CZE,Other
71,13,CZE,"Value for money"
72,10,CZE,Other
73,10,CZE,Other
74,26,CZE,Other
75,11,CZE,"Value for money"
76,2,CZE,Noname
77,33,CZE,Premium
78,6,CZE,Premium
79,2,CZE,Noname
80,2,CZE,Noname
81,1,CZE,Premium
82,1,CZE,Premium
83,13,CZE,"Value for money"
84,2,CZE,Noname
85,2,CZE,Noname
86,24,CZE,Discount
87,13,CZE,"Value for money"
88,8,CZE,"Value for money"
89,30,CZE,Noname
90,33,CZE,Premium
91,2,CZE,Noname
92,30,CZE,Noname
93,22,CZE,Other
94,9,CZE,"Value for money"
95,8,CZE,"Value for money"
96,1,CZE,Premium
97,2,CZE,Noname
98,3,CZE,Other
99,2,CZE,Noname
100,10,CZE,Other
101,10,CZE,Other
102,10,CZE,Other
103,10,CZE,Other
104,35,CZE,Discount
105,4,CZE,Premium
106,4,CZE,Premium
107,33,CZE,Premium
108,33,CZE,Premium
109,1,CZE,Premium
110,1,CZE,Premium
111,4,CZE,Premium
112,4,CZE,Premium
113,4,CZE,Premium
114,13,CZE,"Value for money"
115,2,CZE,Noname
117,36,CZE,Other
118,36,CZE,Other
119,36,CZE,Other
120,36,CZE,Other
121,36,CZE,Other
122,36,CZE,Other
123,10,CZE,Other
124,3,CZE,Other
125,3,CZE,Other
126,2,CZE,Noname
127,26,CZE,Other
128,4,CZE,Premium
129,2,CZE,Noname
130,2,CZE,Noname
131,13,CZE,"Value for money"
132,33,CZE,Premium
133,2,CZE,Noname
134,1,CZE,Premium
135,24,CZE,Discount
136,10,CZE,Other
137,3,CZE,Other
138,1,CZE,Premium
139,8,CZE,"Value for money"
140,3,CZE,Other
141,9,CZE,"Value for money"
142,9,CZE,"Value for money"
143,2,CZE,Noname
144,8,CZE,"Value for money"
145,1,CZE,Premium
146,10,CZE,Other
147,33,CZE,Premium
148,4,CZE,Premium
149,33,CZE,Premium
150,2,CZE,Noname
151,2,CZE,Noname
152,2,CZE,Noname
153,8,CZE,"Value for money"
154,3,CZE,Other
155,30,CZE,Noname
156,31,CZE,Premium
157,13,CZE,"Value for money"
158,33,CZE,Premium
159,15,CZE,Premium
160,2,CZE,Noname
161,2,CZE,Noname
162,2,CZE,Noname
163,13,CZE,"Value for money"
164,10,CZE,Other
165,3,CZE,Other
166,6,CZE,Premium
167,1,CZE,Premium
168,33,CZE,Premium
169,2,CZE,Noname
170,1,CZE,Premium
171,13,CZE,"Value for money"
172,2,CZE,Noname
173,2,CZE,Noname
174,2,CZE,Noname
175,2,CZE,Noname
176,2,CZE,Noname
177,2,CZE,Noname
178,3,CZE,Other
179,3,CZE,Other
180,3,CZE,Other
181,6,CZE,Premium
182,1,CZE,Premium
183,35,CZE,Discount
184,33,CZE,Premium
185,2,CZE,Noname
186,4,CZE,Premium
187,4,CZE,Premium
188,14,CZE,Noname
189,2,CZE,Noname
190,2,CZE,Noname
191,1,CZE,Premium
192,1,CZE,Premium
193,10,CZE,Other
194,3,CZE,Other
195,13,CZE,"Value for money"
196,6,CZE,Premium
197,6,CZE,Premium
198,31,CZE,Premium
199,2,CZE,Noname
200,9,CZE,"Value for money"
201,2,CZE,Noname
202,2,CZE,Noname
203,2,CZE,Noname
204,2,CZE,Noname
205,2,CZE,Noname
206,13,CZE,"Value for money"
207,1,CZE,Premium
208,4,CZE,Premium
209,4,CZE,Premium
210,6,CZE,Premium
211,4,CZE,Premium
212,4,CZE,Premium
213,3,CZE,Other
214,1,CZE,Premium
215,3,CZE,Other
216,9,CZE,"Value for money"
217,1,CZE,Premium
218,2,CZE,Noname
219,1,CZE,Premium
220,8,CZE,"Value for money"
221,6,CZE,Premium
222,3,CZE,Other
223,6,CZE,Premium
224,6,CZE,Premium
225,1,CZE,Premium
226,9,CZE,"Value for money"
227,9,CZE,"Value for money"
228,2,CZE,Noname
229,13,CZE,"Value for money"
230,13,CZE,"Value for money"
231,13,CZE,"Value for money"
232,1,CZE,Premium
233,1,CZE,Premium
234,1,CZE,Premium
235,1,CZE,Premium
236,4,CZE,Premium
237,2,CZE,Noname
238,8,CZE,"Value for money"
239,36,CZE,Other
240,36,CZE,Other
241,36,CZE,Other
242,36,CZE,Other
243,36,CZE,Other
244,36,CZE,Other
245,36,CZE,Other
246,36,CZE,Other
247,3,CZE,Other
248,3,CZE,Other
249,35,CZE,Discount
250,2,CZE,Noname
251,13,CZE,"Value for money"
252,13,CZE,"Value for money"
253,1,CZE,Premium
254,9,CZE,"Value for money"
255,33,CZE,Premium
256,13,CZE,"Value for money"
257,13,CZE,"Value for money"
258,30,CZE,Noname
259,13,CZE,"Value for money"
260,33,CZE,Premium
261,33,CZE,Premium
262,33,CZE,Premium
263,8,CZE,"Value for money"
264,34,CZE,Other
265,13,CZE,"Value for money"
266,13,CZE,"Value for money"
267,35,CZE,Discount
268,35,CZE,Discount
269,2,CZE,Noname
270,2,CZE,Noname
271,1,CZE,Premium
272,1,CZE,Premium
273,2,CZE,Noname
274,8,CZE,"Value for money"
275,26,CZE,Other
276,2,CZE,Noname
277,8,CZE,"Value for money"
278,1,CZE,Premium
279,13,CZE,"Value for money"
280,13,CZE,"Value for money"
281,1,CZE,Premium
282,1,CZE,Premium
283,4,CZE,Premium
284,6,CZE,Premium
285,10,CZE,Other
286,10,CZE,Other
