TransactionID,Date,Time,CustomerID,CardID,GasStationID,ProductID,Amount,Price
1,2012-08-24,09:41:00,31543,486621,3704,2,28,672.64
2,2012-08-24,10:03:00,46707,550134,3704,2,18,430.72
3,2012-08-24,10:03:00,46707,550134,3704,23,1,121.99
4,2012-08-24,13:53:00,7654,684220,656,5,5,120.74
5,2012-08-24,08:49:00,17373,536109,741,2,28,645.05
6,2012-08-24,08:53:00,7881,99745,741,5,4,96.84
7,2012-08-24,14:20:00,17241,571420,1152,5,4,81.94
8,2012-08-24,14:01:00,17320,729387,636,11,0,21.75
9,2012-08-24,14:01:00,17320,729387,636,2,34,771.06
10,2012-08-24,14:38:00,19111,726672,636,2,21,477.68
11,2012-08-24,16:46:00,19881,545633,3869,2,27,611.30
12,2012-08-24,04:19:00,30895,726796,967,2,20,455.75
13,2012-08-24,06:23:00,7626,735448,967,5,4,100.92
14,2012-08-24,06:42:00,7626,735171,967,5,4,101.33
15,2012-08-24,09:36:00,14728,570199,967,7,0,60.48
16,2012-08-24,11:47:00,30895,726795,967,2,30,683.63
17,2012-08-24,12:56:00,12731,715432,967,2,26,579.26
18,2012-08-24,16:32:00,30895,571030,967,2,27,615.27
19,2012-08-24,16:18:00,37407,455971,636,2,23,511.54
20,2012-08-24,16:25:00,18399,702374,636,2,25,566.49
21,2012-08-24,16:27:00,47144,535650,636,2,24,542.42
22,2012-08-24,16:31:00,28134,633204,636,5,6,147.38
23,2012-08-24,16:55:00,33094,464776,636,5,4,84.01
24,2012-08-24,18:03:00,19732,559289,636,2,31,710.01
25,2012-08-24,18:50:00,45853,726022,662,5,3,72.76
26,2012-08-23,20:19:00,49788,753582,910,2,22,520.56
27,2012-08-23,20:19:00,49788,753582,910,23,1,123.91
28,2012-08-24,05:02:00,6990,80700,910,2,22,519.37
29,2012-08-24,06:19:00,9635,600455,910,2,26,611.05
30,2012-08-24,06:27:00,33635,669476,910,9,28,707.86
31,2012-08-24,13:19:00,45860,667467,910,2,22,512.04
32,2012-08-24,14:48:00,5803,628769,910,2,23,544.35
33,2012-08-24,14:54:00,32388,648339,910,5,6,155.69
34,2012-08-24,10:51:00,12702,542820,1163,2,30,737.95
35,2012-08-24,14:59:00,20500,514652,1163,2,26,620.49
36,2012-08-23,20:12:00,23339,628682,3114,5,3,76.42
37,2012-08-24,05:39:00,13682,689434,3114,2,28,639.12
38,2012-08-24,17:05:00,47265,549064,1216,2,23,496.34
39,2012-08-24,18:34:00,40333,356026,1216,5,6,124.05
40,2012-08-24,07:23:00,10961,552465,3252,2,27,621.20
41,2012-08-24,08:16:00,12459,639977,3252,2,27,606.11
42,2012-08-24,10:43:00,39987,538299,3250,2,22,476.08
43,2012-08-24,12:42:00,13665,478582,3250,2,264,5762.49
44,2012-08-24,14:52:00,9885,591689,3250,2,16,343.53
45,2012-08-24,16:03:00,20321,667628,3250,22,18,162.37
46,2012-08-24,18:15:00,5404,529170,1249,2,30,681.76
47,2012-08-23,21:20:00,9627,587138,1262,2,91,1994.71
48,2012-08-24,04:43:00,2183,664247,1262,2,12,258.31
49,2012-08-24,04:43:00,2183,664247,1262,15,0,36.26
50,2012-08-24,05:09:00,30546,562672,3259,5,7,152.22
51,2012-08-24,05:50:00,5983,453912,48,2,37,847.70
52,2012-08-24,06:18:00,29793,468415,48,2,27,626.04
53,2012-08-24,03:53:00,5381,541461,1298,2,30,709.85
54,2012-08-24,10:38:00,8309,666275,1298,2,31,721.72
55,2012-08-24,09:16:00,46170,688291,48,2,29,656.57
56,2012-08-24,09:16:00,46170,688291,48,24,0,15.41
57,2012-08-24,09:47:00,20134,558228,48,2,24,556.71
58,2012-08-24,10:06:00,9177,493210,48,2,23,529.86
59,2012-08-24,11:19:00,27426,502658,48,2,48,1103.64
60,2012-08-24,11:31:00,19182,475541,48,9,34,837.21
61,2012-08-24,16:39:00,41943,688731,48,2,32,743.19
62,2012-08-24,17:24:00,9627,483371,48,2,15,348.37
63,2012-08-24,17:25:00,45993,678090,48,2,26,603.97
64,2012-08-24,17:59:00,19182,423740,3152,2,26,612.37
65,2012-08-23,22:59:00,18010,620316,128,2,33,718.32
66,2012-08-24,00:34:00,18010,520888,128,2,29,643.63
